Day #,Julian Month,Julian Day,Roman Month,Roman Number,Roman Reference,,Color,Secondary Color,Notes,Saint ID,Secondary Saint ID,Third Color Name,Third Saint ID,Fourth Color Name,Fourth Saint ID,Saint (Main hand),Rank (Main hand),Second Hand,Second Hand Rank,Third hand,Third hand rank,Additional Hand?,Additional Hand Rank?,notes,Order?,,Readings list
1,January,1,January,0,Kalends,,,,,,,,,,,Circumcisio domini,Duplex,,,,,,,,,,
2,January,2,January,4,Nones,,,,,,,,,,,Octave sancti stephani.,3 lectio,,,,,,,,,,
3,January,3,January,3,Nones,,,,,,,,,,,Octave sancti iohanis.,3 lectio,,,,,,,,,,
4,January,4,January,2,Nones,,,,,,,,,,,Octave sanctorum innocentium.,3 lectio,,,,,,,,,,
5,January,5,January,0,Nones,,blank,,,,,,,,,,,,,,,,,,,,
6,January,6,January,8,Ides,,,,,,,,,,,Epiphania domini,Totum duplex,,,,,,,,,,
7,January,7,January,7,Ides,,blank,,,,,,,,,,,,,,,,,,,,
8,January,8,January,6,Ides,,blank,,,,,,,,,,,,,,,,,,,,
9,January,9,January,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
10,January,10,January,4,Ides,,,,,,,,,,,Pauli heremite,,Guilielmi episcopi,XII.,,,,,"Cistercian saint, added to Ocist. Calendar in 1218 [cf. Backaert 1950-51]",,,
11,January,11,January,3,Ides,,blank,,,,,,,,,,,,,Commemoratio episcoporum et abbatum ordinis nostri.,,,,Cistercian observance; date of introduction unclear: cf. Backaert 1950 p. 85),,,
12,January,12,January,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
13,January,13,January,0,Ides,,,,,,,,,,,Oct. epyhania. IX Lect. [H]ylarii et remigii episcoporum. Comemoratio,,,,,,,,,,,
14,January,14,February,19,Kalends,,,,,,,,,,,Felicis presbyteri et martyris,3 lectio,,,,,,,,,,
15,January,15,February,18,Kalends,,,,,,,,,,,Mauri abbatis,Commemoratio,,,,,,,,,,
16,January,16,February,17,Kalends,,,,,,,,,,,Marcelli pape et martyris,3 lectio,,,,,,,,,,Marcelli
17,January,17,February,16,Kalends,,,,,,,,,,,Antonii abbatis.,xi lectio [sic],,,,,,,,,,
18,January,18,February,15,Kalends,,,,,,,,,,,Prisce virginis,3 lectio,,,,,,,,,,
19,January,19,February,14,Kalends,,blank,,,,,,,,,,,,,,,Sanctorum martyrum mauri marthe audifax et abbacum,,"Actually written lower, but with a sign to indicate that it should be on January 19",,,
20,January,20,February,13,Kalends,,,,,,,,,,,Fabiani et sebastiani martyris,9 lectio,,,,,,,,,,Fabiani et sebastiani
21,January,21,February,12,Kalends,,,,,,,,,,,Agnetis virginis et martyris,9 lectio,,,,,,,,,,Agnetis
22,January,22,February,11,Kalends,,,,,,,,,,,Vincentii martyris,9 lectio,,,,,,,,,,Vincentii
23,January,23,February,10,Kalends,,,,,,,,,,,Emerentiane virginis,commemoratio,,,,,,,,,,
24,January,24,February,9,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
25,January,25,February,8,Kalends,,,,,,,,,,,Conversio sancti pauli,Semiduplex,,,,,,,,,,Conversione sancti pauli
26,January,26,February,7,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
27,January,27,February,6,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
28,January,28,February,5,Kalends,,,,,,,,,,,Agnetis secundo. 3 lectio. Juliani episcopi. Commemoratio,,,,,,,,,,,Agnetis secundo
29,January,29,February,4,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
30,January,30,February,3,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
31,January,31,February,2,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
32,February,1,February,0,Kalends,,,,,,,,,,,Ignatii episcopi,commemoratio,,,,,,,,,,
33,February,2,February,4,Nones,,,,,,,,,,,Purificatio Virginis,Totum duplex,,,,,,,,,,In purificatione
34,February,3,February,3,Nones,,,,,,,,,,,Blasii episcopi et martyri,[erased?],,,,,,,,,,
35,February,4,February,2,Nones,,,,,,,,,,,Anniversarium patrum et matrum,[originally 9 lect.],,,Sancti Gilberti confessoris,,,,"The Anniversarium has been crossed out to be replaced with Sancti Gilberti. Sancti is written on the 4 February area, and then the rest filled in after Blasé on the line above.",OP,,
36,February,5,February,0,Nones,,,,,,,,,,,Agathe virginis,9 lectio,,,,,,,,,,Agathe
37,February,6,February,8,Ides,,,,,,,,,,,Vedasti et amandi episcoporum,Commemoratio [Va],,,,,,,,,,
38,February,7,February,7,Ides,,blank,,,,,,,,,,,,,,,,,,,,
39,February,8,February,6,Ides,,blank,,,,,,,,,,,,,,,,,,,,
40,February,9,February,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
41,February,10,February,4,Ides,,,,,,,,,,,Scolastice virginis.,Commemoratio,,,,,,,,,,
42,February,11,February,3,Ides,,blank,,,,,,,,,,,,,,,,,,,,
43,February,12,February,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
44,February,13,February,0,Ides,,blank,,,,,,,,,,,,,,,,,,,,
45,February,14,March,16,Kalends,,,,,,,,,,,Valentini martyris,3 lectio,,,,,,,,,,Valentini
46,February,15,March,15,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
47,February,16,March,14,Kalends,,blank,,,,,,,,,,,,,Iuliane virginis et martyris.,Commemoratio. [va],,,,,,
48,February,17,March,13,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
49,February,18,March,12,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
50,February,19,March,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
51,February,20,March,10,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
52,February,21,March,9,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
53,February,22,March,8,Kalends,,,,,,,,,,,Cathedri sancti petri,9 lectio,,,,,,,,,,In cathedre sancti petri
54,February,23,March,7,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
55,February,24,March,6,Kalends,,,,,,,,,,,Sancti mathie apostoli,,,,,,,,,,,
56,February,25,March,5,Kalends,,blank,,,,,,,,,,,,,,,,,,,,Mathie
57,February,26,March,4,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
58,February,27,March,3,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
59,February,28,March,2,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
60,March,1,March,0,Kalends,,,,,,,,,,,Albini episcopi et martyris,Commemoratio,,,,,,,,,,
61,March,2,March,6,Nones,,blank,,,,,,,,,,,,,,,,,,,,
62,March,3,March,5,Nones,,blank,,,,,,,,,,,,,,,,,,,,
63,March,4,March,4,Nones,,blank,,,,,,,,,,,,,,,,,,,,
64,March,5,March,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
65,March,6,March,2,Nones,,blank,,,,,,,,,,,,,,,,,,,,
66,March,7,March,0,Nones,,blank,,,,,,,,,,,,,,,Sanctarum virginum perpetue et felicitatis,Commemoratio,,,,
67,March,8,March,8,Ides,,blank,,,,,,,,,,,,,,,,,,,,
68,March,9,March,7,Ides,,blank,,,,,,,,,,,,,,,Sanctorum xl martyrum,,,,,
69,March,10,March,6,Ides,,blank,,,,,,,,,,,,,,,,,,,,
70,March,11,March,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
71,March,12,March,4,Ides,,,,,,,,,,,Sancti gregorii pape,9 lectio,,,,,,,,,,Gregorius pape
72,March,13,March,3,Ides,,blank,,,,,,,,,,,,,,,,,,,,
73,March,14,March,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
74,March,15,March,0,Ides,,blank,,,,,,,,,,,,,,,,,,,,
75,March,16,April,17,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
76,March,17,April,16,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
77,March,18,April,15,Kalends,,blank,,,,,,,,,,,,,,,Anniversarium honorii,,This is the death date of Pope Honorius III in 1228,,,
78,March,19,April,14,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
79,March,20,April,13,Kalends,,blank,,,,,,,,,,,,,Cuthberti episcopi,Commemoratio [or 9?],,,,,,
80,March,21,April,12,Kalends,,,,,,,,,,,Benedicti abbatis,9 lectio,,,,,,,,,,Benedicti
81,March,22,April,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
82,March,23,April,10,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
83,March,24,April,9,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
84,March,25,April,8,Kalends,,,,,,,,,,,Annuntiatio dominici,Totum duplex,,,,,,,,,,
85,March,26,April,7,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
86,March,27,April,6,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
87,March,28,April,5,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
88,March,29,April,4,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
89,March,30,April,3,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
90,March,31,April,2,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
91,April,1,April,0,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
92,April,2,April,4,Nones,,blank,,,,,,,,,,,,,,,,,,,,
93,April,3,April,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
94,April,4,April,2,Nones,,,,,,,,,,,Ambrosius archiepiscopi,9 lectio,,,,,,,,,,Ambrosii
95,April,5,April,0,Nones,,blank,,,,,,,,,,,,,,,,,,,,
96,April,6,April,8,Ides,,blank,,,,,,,,,,,,,,,,,,,,
97,April,7,April,7,Ides,,blank,,,,,,,,,,,,,,,,,,,,
98,April,8,April,6,Ides,,blank,,,,,,,,,,,,,,,,,,,,
99,April,9,April,5,Ides,,blank,,,,,,,,,,,,,,,,,,,,
100,April,10,April,4,Ides,,blank,,,,,,,,,,,,,,,,,,,,
101,April,11,April,3,Ides,,blank,,,,,,,,,,,,,,,,,,,,
102,April,12,April,2,Ides,,blank,,,,,,,,,,,,,,,,,,,,
103,April,13,April,0,Ides,,,,,,,,,,,,,,,,,,,,,,
104,April,14,May,18,Kalends,,,,,,,,,,,Tiburtii et valeriani martyris,3 lectio,,,,,,,,,,Tiburtii et valeriani
105,April,15,May,17,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
106,April,16,May,16,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
107,April,17,May,15,Kalends,,blank,,,,,,,,,,,,,,,Aniceti pape et martyris,,,,,
108,April,18,May,14,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
109,April,19,May,13,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
110,April,20,May,12,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
111,April,21,May,11,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
112,April,22,May,10,Kalends,,blank,,,,,,,,,,,,,,,Sanctorum martyrum sotheris et gaii,,,,,
113,April,23,May,9,Kalends,,,,,,,,,,,Georgii martyris,9 lectiones,,,,,,,,,,Georgii
114,April,24,May,8,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
115,April,25,May,7,Kalends,,,,,,,,,,,Marchi evangelisti,,,,,,,,,,,Marci
116,April,26,May,6,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
117,April,27,May,5,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
118,April,28,May,4,Kalends,,,,,,,,,,,Vitalis martyris,3 lectio,,,,,,,,,,Vitalis martyris
119,April,29,May,3,Kalends,,blank,,,,,,,,,,,,,,,Sancti petri martyris de ordine predicatorum,,,,,
120,April,30,May,2,Kalends,,blank,,,,,,,,,,,,,,,,,,,,
121,May,1,May,0,Kalends,,,,,,,,,,,Philippi et iacobi apostolorum,Semiduplex,,,,,,,,,,Phylipi et iacobi
122,May,2,May,6,Nones,,blank,,,,,,,,,,,,,,,,,,,,
123,May,3,May,5,Nones,,,,,,,,,,,Inventio sancte crucis,9 lectio. Alexandri Eventii et Theodori martyrum commemoratio.,,,,,,,,,,In inventione crucis
124,May,4,May,4,Nones,,blank,,,,,,,,,,,,,,,,,,,,
125,May,5,May,3,Nones,,blank,,,,,,,,,,,,,,,,,,,,
